year,number,date,month,state
"2014",82,2014-01-01,"July","Santa Catarina"
"2015",45,2015-01-01,"July","Santa Catarina"
"2016",480,2016-01-01,"July","Santa Catarina"
"2017",591,2017-01-01,"July","Santa Catarina"
"1998",0,1998-01-01,"August","Santa Catarina"
"1999",51,1999-01-01,"August","Santa Catarina"
"2000",69,2000-01-01,"August","Santa Catarina"
"2001",24,2001-01-01,"August","Santa Catarina"
"2002",702,2002-01-01,"August","Santa Catarina"
"2003",1513,2003-01-01,"August","Santa Catarina"
"2004",728,2004-01-01,"August","Santa Catarina"
"2005",391,2005-01-01,"August","Santa Catarina"
"2006",728,2006-01-01,"August","Santa Catarina"
"2007",462,2007-01-01,"August","Santa Catarina"
"2008",51,2008-01-01,"August","Santa Catarina"
"2009",759,2009-01-01,"August","Santa Catarina"
"2010",511,2010-01-01,"August","Santa Catarina"
"2011",175,2011-01-01,"August","Santa Catarina"
"2012",398,2012-01-01,"August","Santa Catarina"
"2013",236,2013-01-01,"August","Santa Catarina"
"2014",459,2014-01-01,"August","Santa Catarina"
"2015",379,2015-01-01,"August","Santa Catarina"
"2016",765,2016-01-01,"August","Santa Catarina"
"2017",713,2017-01-01,"August","Santa Catarina"
"1998",6,1998-01-01,"September","Santa Catarina"
"1999",101,1999-01-01,"September","Santa Catarina"
"2000",36,2000-01-01,"September","Santa Catarina"
"2001",18,2001-01-01,"September","Santa Catarina"
"2002",416,2002-01-01,"September","Santa Catarina"
"2003",1339,2003-01-01,"September","Santa Catarina"
"2004",755,2004-01-01,"September","Santa Catarina"
"2005",116,2005-01-01,"September","Santa Catarina"
"2006",530,2006-01-01,"September","Santa Catarina"
"2007",617,2007-01-01,"September","Santa Catarina"
"2008",233,2008-01-01,"September","Santa Catarina"
"2009",47,2009-01-01,"September","Santa Catarina"
"2010",198,2010-01-01,"September","Santa Catarina"
"2011",450,2011-01-01,"September","Santa Catarina"
"2012",188,2012-01-01,"September","Santa Catarina"
"2013",303,2013-01-01,"September","Santa Catarina"
"2014",208,2014-01-01,"September","Santa Catarina"
"2015",156,2015-01-01,"September","Santa Catarina"
"2016",644,2016-01-01,"September","Santa Catarina"
"2017",626,2017-01-01,"September","Santa Catarina"
"1998",4,1998-01-01,"October","Santa Catarina"
"1999",16,1999-01-01,"October","Santa Catarina"
"2000",55,2000-01-01,"October","Santa Catarina"
"2001",26,2001-01-01,"October","Santa Catarina"
"2002",42,2002-01-01,"October","Santa Catarina"
"2003",669,2003-01-01,"October","Santa Catarina"
"2004",704,2004-01-01,"October","Santa Catarina"
"2005",197,2005-01-01,"October","Santa Catarina"
"2006",269,2006-01-01,"October","Santa Catarina"
"2007",35,2007-01-01,"October","Santa Catarina"
"2008",56,2008-01-01,"October","Santa Catarina"
"2009",252,2009-01-01,"October","Santa Catarina"
"2010",76,2010-01-01,"October","Santa Catarina"
"2011",102,2011-01-01,"October","Santa Catarina"
"2012",34,2012-01-01,"October","Santa Catarina"
"2013",107,2013-01-01,"October","Santa Catarina"
"2014",122,2014-01-01,"October","Santa Catarina"
"2015",21,2015-01-01,"October","Santa Catarina"
"2016",56,2016-01-01,"October","Santa Catarina"
"2017",51,2017-01-01,"October","Santa Catarina"
"1998",21,1998-01-01,"November","Santa Catarina"
"1999",84,1999-01-01,"November","Santa Catarina"
"2000",19,2000-01-01,"November","Santa Catarina"
"2001",66,2001-01-01,"November","Santa Catarina"
"2002",348,2002-01-01,"November","Santa Catarina"
"2003",347,2003-01-01,"November","Santa Catarina"
"2004",279,2004-01-01,"November","Santa Catarina"
"2005",384,2005-01-01,"November","Santa Catarina"
"2006",45,2006-01-01,"November","Santa Catarina"
"2007",26,2007-01-01,"November","Santa Catarina"
"2008",16,2008-01-01,"November","Santa Catarina"
"2009",61,2009-01-01,"November","Santa Catarina"
"2010",88,2010-01-01,"November","Santa Catarina"
"2011",79,2011-01-01,"November","Santa Catarina"
"2012",72,2012-01-01,"November","Santa Catarina"
"2013",84,2013-01-01,"November","Santa Catarina"
"2014",43,2014-01-01,"November","Santa Catarina"
"2015",9,2015-01-01,"November","Santa Catarina"
"2016",156,2016-01-01,"November","Santa Catarina"
"2017",152,2017-01-01,"November","Santa Catarina"
"1998",26,1998-01-01,"December","Santa Catarina"
"1999",89,1999-01-01,"December","Santa Catarina"
"2000",29,2000-01-01,"December","Santa Catarina"
"2001",45,2001-01-01,"December","Santa Catarina"
"2002",76,2002-01-01,"December","Santa Catarina"
"2003",129,2003-01-01,"December","Santa Catarina"
"2004",68,2004-01-01,"December","Santa Catarina"
"2005",17,2005-01-01,"December","Santa Catarina"
"2006",7,2006-01-01,"December","Santa Catarina"
"2007",17,2007-01-01,"December","Santa Catarina"
"2008",29,2008-01-01,"December","Santa Catarina"
"2009",20,2009-01-01,"December","Santa Catarina"
"2010",23,2010-01-01,"December","Santa Catarina"
"2011",24,2011-01-01,"December","Santa Catarina"
"2012",32,2012-01-01,"December","Santa Catarina"
"2013",74,2013-01-01,"December","Santa Catarina"
"2014",45,2014-01-01,"December","Santa Catarina"
"2015",19,2015-01-01,"December","Santa Catarina"
"2016",20,2016-01-01,"December","Santa Catarina"
"1998",0,1998-01-01,"January","Sao Paulo"
"1999",7,1999-01-01,"January","Sao Paulo"
"2000",36,2000-01-01,"January","Sao Paulo"
"2001",26,2001-01-01,"January","Sao Paulo"
"2002",19,2002-01-01,"January","Sao Paulo"
"2003",59,2003-01-01,"January","Sao Paulo"
"2004",37,2004-01-01,"January","Sao Paulo"
"2005",26,2005-01-01,"January","Sao Paulo"
"2006",76,2006-01-01,"January","Sao Paulo"
"2007",14,2007-01-01,"January","Sao Paulo"
"2008",34,2008-01-01,"January","Sao Paulo"
"2009",12,2009-01-01,"January","Sao Paulo"
"2010",45,2010-01-01,"January","Sao Paulo"
"2011",75,2011-01-01,"January","Sao Paulo"
"2012",38,2012-01-01,"January","Sao Paulo"
"2013",36,2013-01-01,"January","Sao Paulo"
"2014",99,2014-01-01,"January","Sao Paulo"
"2015",120,2015-01-01,"January","Sao Paulo"
"2016",85,2016-01-01,"January","Sao Paulo"
"2017",28,2017-01-01,"January","Sao Paulo"
"1998",0,1998-01-01,"February","Sao Paulo"
"1999",47,1999-01-01,"February","Sao Paulo"
"2000",25,2000-01-01,"February","Sao Paulo"
"2001",25,2001-01-01,"February","Sao Paulo"
"2002",19,2002-01-01,"February","Sao Paulo"
"2003",137,2003-01-01,"February","Sao Paulo"
"2004",41,2004-01-01,"February","Sao Paulo"
"2005",78,2005-01-01,"February","Sao Paulo"
"2006",59,2006-01-01,"February","Sao Paulo"
"2007",96,2007-01-01,"February","Sao Paulo"
"2008",30,2008-01-01,"February","Sao Paulo"
"2009",65,2009-01-01,"February","Sao Paulo"
"2010",152,2010-01-01,"February","Sao Paulo"
"2011",73,2011-01-01,"February","Sao Paulo"
"2012",81,2012-01-01,"February","Sao Paulo"
"2013",100,2013-01-01,"February","Sao Paulo"
"2014",112,2014-01-01,"February","Sao Paulo"
"2015",69,2015-01-01,"February","Sao Paulo"
"2016",188,2016-01-01,"February","Sao Paulo"
"2017",107,2017-01-01,"February","Sao Paulo"
"1998",0,1998-01-01,"March","Sao Paulo"
"1999",78,1999-01-01,"March","Sao Paulo"
"2000",26,2000-01-01,"March","Sao Paulo"
"2001",35,2001-01-01,"March","Sao Paulo"
"2002",111,2002-01-01,"March","Sao Paulo"
"2003",86,2003-01-01,"March","Sao Paulo"
"2004",73,2004-01-01,"March","Sao Paulo"
"2005",73,2005-01-01,"March","Sao Paulo"
"2006",106,2006-01-01,"March","Sao Paulo"
"2007",152,2007-01-01,"March","Sao Paulo"
"2008",72,2008-01-01,"March","Sao Paulo"
"2009",55,2009-01-01,"March","Sao Paulo"
"2010",111,2010-01-01,"March","Sao Paulo"
"2011",45,2011-01-01,"March","Sao Paulo"
"2012",99,2012-01-01,"March","Sao Paulo"
"2013",57,2013-01-01,"March","Sao Paulo"
"2014",75,2014-01-01,"March","Sao Paulo"
"2015",68,2015-01-01,"March","Sao Paulo"
"2016",82,2016-01-01,"March","Sao Paulo"
"2017",103,2017-01-01,"March","Sao Paulo"
"1998",0,1998-01-01,"April","Sao Paulo"
"1999",291,1999-01-01,"April","Sao Paulo"
"2000",102,2000-01-01,"April","Sao Paulo"
"2001",61,2001-01-01,"April","Sao Paulo"
"2002",178,2002-01-01,"April","Sao Paulo"
"2003",106,2003-01-01,"April","Sao Paulo"
"2004",36,2004-01-01,"April","Sao Paulo"
"2005",62,2005-01-01,"April","Sao Paulo"
"2006",63,2006-01-01,"April","Sao Paulo"
"2007",44,2007-01-01,"April","Sao Paulo"
"2008",84,2008-01-01,"April","Sao Paulo"
"2009",67,2009-01-01,"April","Sao Paulo"
"2010",91,2010-01-01,"April","Sao Paulo"
"2011",52,2011-01-01,"April","Sao Paulo"
"2012",82,2012-01-01,"April","Sao Paulo"
"2013",103,2013-01-01,"April","Sao Paulo"
"2014",103,2014-01-01,"April","Sao Paulo"
"2015",76,2015-01-01,"April","Sao Paulo"
"2016",307,2016-01-01,"April","Sao Paulo"
"2017",41,2017-01-01,"April","Sao Paulo"
"1998",0,1998-01-01,"May","Sao Paulo"
"1999",500,1999-01-01,"May","Sao Paulo"
"2000",300,2000-01-01,"May","Sao Paulo"
"2001",211,2001-01-01,"May","Sao Paulo"
"2002",319,2002-01-01,"May","Sao Paulo"
"2003",69,2003-01-01,"May","Sao Paulo"
"2004",60,2004-01-01,"May","Sao Paulo"
"2005",212,2005-01-01,"May","Sao Paulo"
"2006",88,2006-01-01,"May","Sao Paulo"
"2007",69,2007-01-01,"May","Sao Paulo"
"2008",40,2008-01-01,"May","Sao Paulo"
"2009",142,2009-01-01,"May","Sao Paulo"
"2010",150,2010-01-01,"May","Sao Paulo"
"2011",136,2011-01-01,"May","Sao Paulo"
"2012",82,2012-01-01,"May","Sao Paulo"
"2013",118,2013-01-01,"May","Sao Paulo"
"2014",181,2014-01-01,"May","Sao Paulo"
"2015",65,2015-01-01,"May","Sao Paulo"
"2016",139,2016-01-01,"May","Sao Paulo"
"2017",43,2017-01-01,"May","Sao Paulo"
"1998",451,1998-01-01,"June","Sao Paulo"
"1999",522,1999-01-01,"June","Sao Paulo"
"2000",606,2000-01-01,"June","Sao Paulo"
"2001",346,2001-01-01,"June","Sao Paulo"
"2002",562,2002-01-01,"June","Sao Paulo"
"2003",132,2003-01-01,"June","Sao Paulo"
"2004",231,2004-01-01,"June","Sao Paulo"
"2005",236,2005-01-01,"June","Sao Paulo"
"2006",97,2006-01-01,"June","Sao Paulo"
"2007",91,2007-01-01,"June","Sao Paulo"
"2008",25,2008-01-01,"June","Sao Paulo"
"2009",125,2009-01-01,"June","Sao Paulo"
"2010",143,2010-01-01,"June","Sao Paulo"
"2011",210,2011-01-01,"June","Sao Paulo"
"2012",30,2012-01-01,"June","Sao Paulo"
"2013",47,2013-01-01,"June","Sao Paulo"
"2014",331,2014-01-01,"June","Sao Paulo"
"2015",147,2015-01-01,"June","Sao Paulo"
"2016",197,2016-01-01,"June","Sao Paulo"
"2017",217,2017-01-01,"June","Sao Paulo"
"1998",596,1998-01-01,"July","Sao Paulo"
"1999",684,1999-01-01,"July","Sao Paulo"
"2000",770,2000-01-01,"July","Sao Paulo"
"2001",538,2001-01-01,"July","Sao Paulo"
"2002",448,2002-01-01,"July","Sao Paulo"
"2003",171,2003-01-01,"July","Sao Paulo"
"2004",342,2004-01-01,"July","Sao Paulo"
"2005",284,2005-01-01,"July","Sao Paulo"
"2006",245,2006-01-01,"July","Sao Paulo"
"2007",94,2007-01-01,"July","Sao Paulo"
"2008",126,2008-01-01,"July","Sao Paulo"
"2009",110,2009-01-01,"July","Sao Paulo"
"2010",600,2010-01-01,"July","Sao Paulo"
"2011",479,2011-01-01,"July","Sao Paulo"
"2012",179,2012-01-01,"July","Sao Paulo"
"2013",181,2013-01-01,"July","Sao Paulo"
"2014",476,2014-01-01,"July","Sao Paulo"
"2015",149,2015-01-01,"July","Sao Paulo"
"2016",687,2016-01-01,"July","Sao Paulo"
"2017",802,2017-01-01,"July","Sao Paulo"
"1998",581,1998-01-01,"August","Sao Paulo"
"1999",1211,1999-01-01,"August","Sao Paulo"
"2000",915,2000-01-01,"August","Sao Paulo"
"2001",595,2001-01-01,"August","Sao Paulo"
"2002",719,2002-01-01,"August","Sao Paulo"
"2003",934,2003-01-01,"August","Sao Paulo"
"2004",794,2004-01-01,"August","Sao Paulo"
"2005",522,2005-01-01,"August","Sao Paulo"
"2006",572,2006-01-01,"August","Sao Paulo"
"2007",470,2007-01-01,"August","Sao Paulo"
"2008",153,2008-01-01,"August","Sao Paulo"
"2009",289,2009-01-01,"August","Sao Paulo"
"2010",1809,2010-01-01,"August","Sao Paulo"
"2011",1067,2011-01-01,"August","Sao Paulo"
"2012",435,2012-01-01,"August","Sao Paulo"
"2013",497,2013-01-01,"August","Sao Paulo"
"2014",1458,2014-01-01,"August","Sao Paulo"
"2015",643,2015-01-01,"August","Sao Paulo"
"2016",797,2016-01-01,"August","Sao Paulo"
"2017",981,2017-01-01,"August","Sao Paulo"
"1998",525,1998-01-01,"September","Sao Paulo"
"1999",911,1999-01-01,"September","Sao Paulo"
"2000",582,2000-01-01,"September","Sao Paulo"
"2001",425,2001-01-01,"September","Sao Paulo"
"2002",302,2002-01-01,"September","Sao Paulo"
"2003",977,2003-01-01,"September","Sao Paulo"
"2004",809,2004-01-01,"September","Sao Paulo"
"2005",231,2005-01-01,"September","Sao Paulo"
"2006",694,2006-01-01,"September","Sao Paulo"
"2007",495,2007-01-01,"September","Sao Paulo"
"2008",486,2008-01-01,"September","Sao Paulo"
"2009",116,2009-01-01,"September","Sao Paulo"
"2010",1677,2010-01-01,"September","Sao Paulo"
"2011",1108,2011-01-01,"September","Sao Paulo"
"2012",813,2012-01-01,"September","Sao Paulo"
"2013",560,2013-01-01,"September","Sao Paulo"
"2014",882,2014-01-01,"September","Sao Paulo"
"2015",368,2015-01-01,"September","Sao Paulo"
"2016",490,2016-01-01,"September","Sao Paulo"
"2017",2868,2017-01-01,"September","Sao Paulo"
"1998",434,1998-01-01,"October","Sao Paulo"
"1999",763,1999-01-01,"October","Sao Paulo"
"2000",647,2000-01-01,"October","Sao Paulo"
"2001",444,2001-01-01,"October","Sao Paulo"
"2002",733,2002-01-01,"October","Sao Paulo"
"2003",422,2003-01-01,"October","Sao Paulo"
"2004",195,2004-01-01,"October","Sao Paulo"
"2005",221,2005-01-01,"October","Sao Paulo"
"2006",153,2006-01-01,"October","Sao Paulo"
"2007",281,2007-01-01,"October","Sao Paulo"
"2008",87,2008-01-01,"October","Sao Paulo"
"2009",64,2009-01-01,"October","Sao Paulo"
"2010",260,2010-01-01,"October","Sao Paulo"
"2011",188,2011-01-01,"October","Sao Paulo"
"2012",206,2012-01-01,"October","Sao Paulo"
"2013",127,2013-01-01,"October","Sao Paulo"
"2014",887,2014-01-01,"October","Sao Paulo"
"2015",213,2015-01-01,"October","Sao Paulo"
"2016",177,2016-01-01,"October","Sao Paulo"
"2017",179,2017-01-01,"October","Sao Paulo"
"1998",488,1998-01-01,"November","Sao Paulo"
"1999",398,1999-01-01,"November","Sao Paulo"
"2000",96,2000-01-01,"November","Sao Paulo"
"2001",168,2001-01-01,"November","Sao Paulo"
"2002",72,2002-01-01,"November","Sao Paulo"
"2003",155,2003-01-01,"November","Sao Paulo"
"2004",144,2004-01-01,"November","Sao Paulo"
"2005",163,2005-01-01,"November","Sao Paulo"
"2006",43,2006-01-01,"November","Sao Paulo"
"2007",50,2007-01-01,"November","Sao Paulo"
"2008",20,2008-01-01,"November","Sao Paulo"
"2009",83,2009-01-01,"November","Sao Paulo"
"2010",104,2010-01-01,"November","Sao Paulo"
"2011",87,2011-01-01,"November","Sao Paulo"
"2012",50,2012-01-01,"November","Sao Paulo"
"2013",120,2013-01-01,"November","Sao Paulo"
"2014",56,2014-01-01,"November","Sao Paulo"
"2015",21,2015-01-01,"November","Sao Paulo"
"2016",39,2016-01-01,"November","Sao Paulo"
"2017",37,2017-01-01,"November","Sao Paulo"
"1998",121,1998-01-01,"December","Sao Paulo"
"1999",47,1999-01-01,"December","Sao Paulo"
"2000",23,2000-01-01,"December","Sao Paulo"
"2001",52,2001-01-01,"December","Sao Paulo"
"2002",57,2002-01-01,"December","Sao Paulo"
"2003",58,2003-01-01,"December","Sao Paulo"
"2004",102,2004-01-01,"December","Sao Paulo"
"2005",15,2005-01-01,"December","Sao Paulo"
"2006",13,2006-01-01,"December","Sao Paulo"
"2007",21,2007-01-01,"December","Sao Paulo"
"2008",36,2008-01-01,"December","Sao Paulo"
"2009",37,2009-01-01,"December","Sao Paulo"
"2010",52,2010-01-01,"December","Sao Paulo"
"2011",53,2011-01-01,"December","Sao Paulo"
"2012",64,2012-01-01,"December","Sao Paulo"
"2013",109,2013-01-01,"December","Sao Paulo"
"2014",57,2014-01-01,"December","Sao Paulo"
"2015",45,2015-01-01,"December","Sao Paulo"
"2016",47,2016-01-01,"December","Sao Paulo"
"1998",0,1998-01-01,"January","Sergipe"
"1999",36,1999-01-01,"January","Sergipe"
"2000",1,2000-01-01,"January","Sergipe"
"2001",2,2001-01-01,"January","Sergipe"
"2002",1,2002-01-01,"January","Sergipe"
"2003",198,2003-01-01,"January","Sergipe"
"2004",16,2004-01-01,"January","Sergipe"
"2005",80,2005-01-01,"January","Sergipe"
"2006",36,2006-01-01,"January","Sergipe"
"2007",56,2007-01-01,"January","Sergipe"
"2008",100,2008-01-01,"January","Sergipe"
"2009",60,2009-01-01,"January","Sergipe"
"2010",29,2010-01-01,"January","Sergipe"
"2011",36,2011-01-01,"January","Sergipe"
"2012",39,2012-01-01,"January","Sergipe"
"2013",34,2013-01-01,"January","Sergipe"
"2014",20,2014-01-01,"January","Sergipe"
"2015",44,2015-01-01,"January","Sergipe"
"2016",9,2016-01-01,"January","Sergipe"
"2017",31,2017-01-01,"January","Sergipe"
"1998",0,1998-01-01,"February","Sergipe"
"1999",25,1999-01-01,"February","Sergipe"
"2000",6,2000-01-01,"February","Sergipe"
"2001",2,2001-01-01,"February","Sergipe"
"2002",6,2002-01-01,"February","Sergipe"
"2003",50,2003-01-01,"February","Sergipe"
"2004",10,2004-01-01,"February","Sergipe"
"2005",19,2005-01-01,"February","Sergipe"
"2006",36,2006-01-01,"February","Sergipe"
"2007",22,2007-01-01,"February","Sergipe"
"2008",67,2008-01-01,"February","Sergipe"
"2009",64,2009-01-01,"February","Sergipe"
"2010",33,2010-01-01,"February","Sergipe"
"2011",31,2011-01-01,"February","Sergipe"
"2012",34,2012-01-01,"February","Sergipe"
"2013",47,2013-01-01,"February","Sergipe"
"2014",18,2014-01-01,"February","Sergipe"
"2015",40,2015-01-01,"February","Sergipe"
"2016",22,2016-01-01,"February","Sergipe"
"2017",18,2017-01-01,"February","Sergipe"
"1998",0,1998-01-01,"March","Sergipe"
"1999",18,1999-01-01,"March","Sergipe"
"2000",6,2000-01-01,"March","Sergipe"
"2001",1,2001-01-01,"March","Sergipe"
"2002",7,2002-01-01,"March","Sergipe"
"2003",62,2003-01-01,"March","Sergipe"
"2004",36,2004-01-01,"March","Sergipe"
"2005",28,2005-01-01,"March","Sergipe"
"2006",41,2006-01-01,"March","Sergipe"
"2007",2,2007-01-01,"March","Sergipe"
"2008",43,2008-01-01,"March","Sergipe"
"2009",29,2009-01-01,"March","Sergipe"
"2010",44,2010-01-01,"March","Sergipe"
"2011",47,2011-01-01,"March","Sergipe"
"2012",71,2012-01-01,"March","Sergipe"
"2013",67,2013-01-01,"March","Sergipe"
"2014",33,2014-01-01,"March","Sergipe"
"2015",49,2015-01-01,"March","Sergipe"
"2016",26,2016-01-01,"March","Sergipe"
"2017",16,2017-01-01,"March","Sergipe"
"1998",0,1998-01-01,"April","Sergipe"
"1999",6,1999-01-01,"April","Sergipe"
"2000",1,2000-01-01,"April","Sergipe"
"2001",0,2001-01-01,"April","Sergipe"
"2002",12,2002-01-01,"April","Sergipe"
"2003",48,2003-01-01,"April","Sergipe"
"2004",13,2004-01-01,"April","Sergipe"
"2005",8,2005-01-01,"April","Sergipe"
"2006",9,2006-01-01,"April","Sergipe"
"2007",1,2007-01-01,"April","Sergipe"
"2008",2,2008-01-01,"April","Sergipe"
"2009",19,2009-01-01,"April","Sergipe"
"2010",1,2010-01-01,"April","Sergipe"
"2011",12,2011-01-01,"April","Sergipe"
"2012",40,2012-01-01,"April","Sergipe"
"2013",15,2013-01-01,"April","Sergipe"
"2014",7,2014-01-01,"April","Sergipe"
"2015",35,2015-01-01,"April","Sergipe"
"2016",14,2016-01-01,"April","Sergipe"
"2017",8,2017-01-01,"April","Sergipe"
"1998",0,1998-01-01,"May","Sergipe"
"1999",0,1999-01-01,"May","Sergipe"
"2000",0,2000-01-01,"May","Sergipe"
"2001",3,2001-01-01,"May","Sergipe"
"2002",0,2002-01-01,"May","Sergipe"
"2003",2,2003-01-01,"May","Sergipe"
"2004",5,2004-01-01,"May","Sergipe"
"2005",0,2005-01-01,"May","Sergipe"
"2006",0,2006-01-01,"May","Sergipe"
"2007",0,2007-01-01,"May","Sergipe"
"2008",0,2008-01-01,"May","Sergipe"
"2009",0,2009-01-01,"May","Sergipe"
"2010",0,2010-01-01,"May","Sergipe"
"2011",0,2011-01-01,"May","Sergipe"
"2012",17,2012-01-01,"May","Sergipe"
"2013",1,2013-01-01,"May","Sergipe"
"2014",1,2014-01-01,"May","Sergipe"
"2015",11,2015-01-01,"May","Sergipe"
"2016",9,2016-01-01,"May","Sergipe"
"2017",1,2017-01-01,"May","Sergipe"
"1998",0,1998-01-01,"June","Sergipe"
"1999",0,1999-01-01,"June","Sergipe"
"2000",0,2000-01-01,"June","Sergipe"
"2001",0,2001-01-01,"June","Sergipe"
"2002",0,2002-01-01,"June","Sergipe"
"2003",0,2003-01-01,"June","Sergipe"
"2004",0,2004-01-01,"June","Sergipe"
"2005",0,2005-01-01,"June","Sergipe"
"2006",0,2006-01-01,"June","Sergipe"
"2007",0,2007-01-01,"June","Sergipe"
"2008",0,2008-01-01,"June","Sergipe"
"2009",2,2009-01-01,"June","Sergipe"
"2010",0,2010-01-01,"June","Sergipe"
